task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
217	1f/762df7	53173211	BIGBIO_QUANTMSDIANN:QUANTMSDIANN:DIA:PRELIMINARY_ANALYSIS (20231121_DIA_240k_20Th_60ms_FAIMSCV-48_gas3p8_50SPD_SC_A549_D20)	COMPLETED	0	2026-06-21 18:33:51.310	12m 45s	11m 40s	1008.8%	15.2 GB	15.9 GB	4.6 GB	10.7 MB
197	d4/e64a45	53173169	BIGBIO_QUANTMSDIANN:QUANTMSDIANN:DIA:PRELIMINARY_ANALYSIS (20231121_DIA_240k_20Th_60ms_FAIMSCV-48_gas3p8_50SPD_SC_A549_B20)	COMPLETED	0	2026-06-21 18:33:49.201	12m 52s	11m 43s	1035.8%	14.3 GB	15.2 GB	4.4 GB	17 MB
285	74/a95f60	53173326	BIGBIO_QUANTMSDIANN:QUANTMSDIANN:DIA:PRELIMINARY_ANALYSIS (20240614_Astral_Neo6_TH026_AU25_DI_run69p2_A549_50SPD_A24)	COMPLETED	0	2026-06-21 18:33:58.108	12m 48s	11m 45s	1044.9%	15.8 GB	16.9 GB	5.5 GB	23 MB
274	b7/5a6124	53173315	BIGBIO_QUANTMSDIANN:QUANTMSDIANN:DIA:PRELIMINARY_ANALYSIS (20240614_Astral_Neo6_TH026_AU25_DI_run69p2_A549_50SPD_C12)	COMPLETED	0	2026-06-21 18:33:57.106	13m 4s	11m 56s	1023.7%	15.7 GB	16.7 GB	5.3 GB	25.9 MB
262	91/d4afb7	53173302	BIGBIO_QUANTMSDIANN:QUANTMSDIANN:DIA:PRELIMINARY_ANALYSIS (20231121_DIA_240k_20Th_60ms_FAIMSCV-48_gas3p8_50SPD_SC_A549_E19)	COMPLETED	0	2026-06-21 18:33:55.810	13m 15s	12m 11s	1031.0%	15.3 GB	16.2 GB	4.6 GB	10.6 MB
283	52/737c84	53173325	BIGBIO_QUANTMSDIANN:QUANTMSDIANN:DIA:PRELIMINARY_ANALYSIS (20231121_DIA_240k_20Th_60ms_FAIMSCV-48_gas3p8_50SPD_SC_A549_I18)	COMPLETED	0	2026-06-21 18:33:58.003	13m 13s	12m 5s	1036.4%	15.7 GB	16.8 GB	4.8 GB	13.8 MB
301	23/d55e32	53173352	BIGBIO_QUANTMSDIANN:QUANTMSDIANN:DIA:PRELIMINARY_ANALYSIS (20240614_Astral_Neo6_TH026_AU25_DI_run69p2_H460_50SPD_D23)	COMPLETED	0	2026-06-21 18:33:59.702	13m 11s	12m 5s	1037.6%	16.2 GB	17.1 GB	5.5 GB	20.4 MB
284	58/acb5d9	53173324	BIGBIO_QUANTMSDIANN:QUANTMSDIANN:DIA:PRELIMINARY_ANALYSIS (20231121_DIA_240k_20Th_60ms_FAIMSCV-48_gas3p8_50SPD_SC_A549_L19)	COMPLETED	0	2026-06-21 18:33:57.904	13m 28s	12m 21s	1034.2%	15.5 GB	16.5 GB	4.6 GB	12.3 MB
280	5e/b26eb9	53173320	BIGBIO_QUANTMSDIANN:QUANTMSDIANN:DIA:PRELIMINARY_ANALYSIS (20231121_DIA_240k_20Th_60ms_FAIMSCV-48_gas3p8_50SPD_SC_A549_H20)	COMPLETED	0	2026-06-21 18:33:57.603	13m 38s	12m 32s	1031.3%	15.6 GB	16.7 GB	4.7 GB	10 MB
246	70/05a49f	53173271	BIGBIO_QUANTMSDIANN:QUANTMSDIANN:DIA:PRELIMINARY_ANALYSIS (20231121_DIA_240k_20Th_60ms_FAIMSCV-48_gas3p8_50SPD_SC_A549_M18)	COMPLETED	0	2026-06-21 18:33:54.202	13m 47s	12m 41s	1030.6%	14.5 GB	15.3 GB	4.5 GB	17.5 MB
292	b5/ebdfe9	53173332	BIGBIO_QUANTMSDIANN:QUANTMSDIANN:DIA:PRELIMINARY_ANALYSIS (20231121_DIA_240k_20Th_60ms_FAIMSCV-48_gas3p8_50SPD_SC_A549_N17)	COMPLETED	0	2026-06-21 18:33:58.702	13m 47s	12m 43s	1040.3%	15.5 GB	16.4 GB	4.7 GB	15.8 MB
267	d5/faf07c	53173307	BIGBIO_QUANTMSDIANN:QUANTMSDIANN:DIA:PRELIMINARY_ANALYSIS (20231121_DIA_240k_20Th_60ms_FAIMSCV-48_gas3p8_50SPD_SC_A549_C18)	COMPLETED	0	2026-06-21 18:33:56.305	13m 55s	12m 49s	1037.1%	15.9 GB	16.9 GB	4.9 GB	10.9 MB
202	a8/5aa264	53173181	BIGBIO_QUANTMSDIANN:QUANTMSDIANN:DIA:PRELIMINARY_ANALYSIS (20231121_DIA_240k_20Th_60ms_FAIMSCV-48_gas3p8_50SPD_SC_A549_K20)	COMPLETED	0	2026-06-21 18:33:49.802	14m 6s	12m 59s	1028.0%	15 GB	15.9 GB	4.5 GB	17.9 MB
198	33/426902	53173171	BIGBIO_QUANTMSDIANN:QUANTMSDIANN:DIA:PRELIMINARY_ANALYSIS (20231121_DIA_240k_20Th_60ms_FAIMSCV-48_gas3p8_50SPD_SC_A549_C21)	COMPLETED	0	2026-06-21 18:33:49.302	14m 17s	13m 12s	1006.0%	14.4 GB	15.2 GB	4.4 GB	13.5 MB
260	fe/354de7	53173300	BIGBIO_QUANTMSDIANN:QUANTMSDIANN:DIA:PRELIMINARY_ANALYSIS (20231121_DIA_240k_20Th_60ms_FAIMSCV-48_gas3p8_50SPD_SC_A549_B18)	COMPLETED	0	2026-06-21 18:33:55.608	14m 10s	13m 3s	1043.4%	15.8 GB	16.8 GB	4.8 GB	11.1 MB
268	b9/ce41e5	53173308	BIGBIO_QUANTMSDIANN:QUANTMSDIANN:DIA:PRELIMINARY_ANALYSIS (20231121_DIA_240k_20Th_60ms_FAIMSCV-48_gas3p8_50SPD_SC_A549_J16)	COMPLETED	0	2026-06-21 18:33:56.404	14m 10s	13m 1s	1046.4%	15.8 GB	16.8 GB	4.6 GB	23.9 MB
270	28/ef9079	53173310	BIGBIO_QUANTMSDIANN:QUANTMSDIANN:DIA:PRELIMINARY_ANALYSIS (20231121_DIA_240k_20Th_60ms_FAIMSCV-48_gas3p8_50SPD_SC_A549_K17)	COMPLETED	0	2026-06-21 18:33:56.604	14m 9s	13m 2s	1039.1%	15.6 GB	16.6 GB	4.7 GB	19.7 MB
250	12/6fb28b	53173286	BIGBIO_QUANTMSDIANN:QUANTMSDIANN:DIA:PRELIMINARY_ANALYSIS (20231121_DIA_240k_20Th_60ms_FAIMSCV-48_gas3p8_50SPD_SC_A549_D21)	COMPLETED	0	2026-06-21 18:33:54.927	14m 26s	13m 20s	1037.9%	15.6 GB	16.5 GB	4.6 GB	9.8 MB
261	e0/41f60b	53173301	BIGBIO_QUANTMSDIANN:QUANTMSDIANN:DIA:PRELIMINARY_ANALYSIS (20231121_DIA_240k_20Th_60ms_FAIMSCV-48_gas3p8_50SPD_SC_A549_I20)	COMPLETED	0	2026-06-21 18:33:55.710	14m 30s	13m 26s	1029.4%	15.6 GB	16.5 GB	4.6 GB	10.1 MB
252	51/4d4292	53173282	BIGBIO_QUANTMSDIANN:QUANTMSDIANN:DIA:PRELIMINARY_ANALYSIS (20231121_DIA_240k_20Th_60ms_FAIMSCV-48_gas3p8_50SPD_SC_A549_I19)	COMPLETED	0	2026-06-21 18:33:54.702	14m 41s	13m 36s	1038.0%	15.2 GB	16.3 GB	4.5 GB	17.1 MB
269	bd/f5586d	53173309	BIGBIO_QUANTMSDIANN:QUANTMSDIANN:DIA:PRELIMINARY_ANALYSIS (20231121_DIA_240k_20Th_60ms_FAIMSCV-48_gas3p8_50SPD_SC_A549_H17)	COMPLETED	0	2026-06-21 18:33:56.504	14m 40s	13m 33s	1048.8%	15.7 GB	16.8 GB	4.7 GB	16.6 MB
289	ac/d9ff9f	53173329	BIGBIO_QUANTMSDIANN:QUANTMSDIANN:DIA:PRELIMINARY_ANALYSIS (20231121_DIA_240k_20Th_60ms_FAIMSCV-48_gas3p8_50SPD_SC_A549_B19)	COMPLETED	0	2026-06-21 18:33:58.402	14m 53s	13m 45s	1051.4%	16.8 GB	17.7 GB	5.3 GB	12.1 MB
228	aa/c76288	53173231	BIGBIO_QUANTMSDIANN:QUANTMSDIANN:DIA:PRELIMINARY_ANALYSIS (20231121_DIA_240k_20Th_60ms_FAIMSCV-48_gas3p8_50SPD_SC_A549_F20)	COMPLETED	0	2026-06-21 18:33:52.303	15m 9s	13m 59s	1038.4%	15.7 GB	16.5 GB	4.6 GB	10.2 MB
249	96/a05bf1	53173278	BIGBIO_QUANTMSDIANN:QUANTMSDIANN:DIA:PRELIMINARY_ANALYSIS (20231121_DIA_240k_20Th_60ms_FAIMSCV-48_gas3p8_50SPD_SC_A549_B21)	COMPLETED	0	2026-06-21 18:33:54.501	15m 7s	13m 59s	1008.4%	15.8 GB	16.7 GB	4.7 GB	8.7 MB
